Note	Frequency (16894 in total)
cm	4289
[cm]	1063
f	898
5	813
2	783
3	743
4	620
1	578
e	559
b2	250
b3	232
g3	227
[f]	226
r3	221
r2	215
g2	192
y2	185
23	174
b4	172
r4	167
y4	167
g4	164
y3	153
trash	100
b	92
g1	92
b1	89
y1	89
r1	87
g	78
m2	75
or	74
r	73
m3	66
y	65
i3	64
p2	63
p3	63
m4	61
i2	52
g5	43
p4	42
34	41
45	38
b5	38
save	38
prism	37
i4	36
m1	36
y5	36
m23	31
p	31
m5	30
tccm	30
not	29
w3	29
n2	28
null	28
kt	27
i1	26
???	23
bluff	23
i	23
k3	23
priority	23
w4	23
p1	22
i5	21
k2	21
w2	20
m	19
o3	19
24	18
25	18
k4	18
r5	18
fixme	17
o4	17
p5	17
345	16
n1	16
n3	16
o2	15
play	15
this	15
!b	14
o1	14
t3	14
w	14
234	13
fix	13
gd	13
n5	13
to	13
double	12
k1	12
pink	12
t1	12
y23	12
!r	11
clue	11
oop	11
why	11
here	10
k	10
lime	10
o23	10
t37	10
t4	10
!n5	9
?	9
is	9
k5	9
t	9
b23	8
do	8
forest	8
g23	8
navy	8
o5	8
!g	7
a	7
a4	7
be	7
dda	7
maybe	7
omni	7
t2	7
t5	7
turn	7
1/2	6
5ce	6
a2	6
blue	6
for	6
gb	6
green	6
n4	6
pull	6
red	6
stall	6
utd	6
!o4	5
1/5	5
a3	5
ambi	5
aqua	5
bad	5
br	5
can't	5
mahogany	5
opportunity	5
pass	5
s	5
scream	5
sky	5
tomato	5
yb	5
!1	4
!3	4
!p	4
!y	4
-2	4
-3	4
-g	4
1/4	4
2345	4
35	4
8	4
as	4
b34	4
discarded	4
discharge	4
ejection	4
finesse	4
have	4
huh	4
if	4
known	4
no	4
peach	4
r23	4
so	4
t26	4
yg	4
!b2	3
!g3	3
1/3	3
10	3
[g3]	3
bm23	3
bs	3
but	3
cardinal	3
chop	3
color	3
could	3
discard	3
gp	3
gr	3
gy	3
indigo	3
kimbi	3
light	3
locked	3
m45	3
me	3
oh	3
on	3
oops	3
p23	3
played	3
rb	3
resolved	3
sdcm	3
should	3
should've	3
t11	3
t18	3
t24	3
t41	3
t6	3
teal	3
u2	3
u4	3
unnecessary	3
wanted	3
what	3
ygb	3
!12	2
!2	2
!b5	2
!r5	2
!t4	2
!yb	2
1's	2
13	2
15	2
245	2
4's	2
=\\	2
[1]	2
[3]	2
[b3]	2
[fix]	2
[g4]	2
a1	2
ambig	2
and	2
b45	2
been	2
berry	2
blaze	2
bomb	2
bp	2
c	2
can	2
card	2
context	2
critical	2
diseased	2
does	2
dupe	2
early	2
fake	2
fi	2
from	2
g24	2
gets	2
gm23	2
good	2
gpt	2
gray	2
has	2
ice	2
it	2
like	2
likely	2
lol	2
looks	2
might	2
mistake	2
most	2
must	2
my	2
n23	2
n235	2
n25	2
need	2
o	2
ocm	2
only	2
orchid	2
piano	2
purple	2
pyr	2
rg	2
rg3	2
rgb	2
rp	2
sapphire	2
see	2
self	2
shadow	2
single	2
start	2
t10	2
t16	2
t17	2
t28	2
t36	2
t43	2
think	2
touch	2
transfer	2
u5	2
w1	2
w5	2
wg	2
yellow	2
yp	2
yr	2
yt	2
!5	1
!a	1
!bg	1
!byr	1
!forest	1
!g2	1
!gr	1
!gy	1
!k3	1
!m2	1
!m3	1
!orchid	1
!pink	1
!pr	1
!r1	1
!r2	1
!red	1
!rp	1
!rpy	1
!ry	1
!y2	1
!yg	1
!yk	1
&	1
-_-\"	1
-b	1
-ry	1
12	1
1234	1
125	1
21	1
235	1
253	1
2Ã—	1
30	1
3m	1
3y	1
42	1
43	1
4charm	1
4r	1
4yp	1
53	1
54	1
5cm	1
5nd	1
[2]	1
[5]	1
[a4]	1
[g5]	1
[m2	1
[m5]	1
[r5]	1
[y2]	1
[y4]	1
a5	1
adrone	1
after	1
ah	1
anxiety	1
ar	1
asaelr	1
at	1
b/w	1
b2345	1
b3y3	1
ba3	1
because	1
better	1
bg	1
bi	1
bi4	1
black	1
blocking	1
bluffs	1
bm	1
bm2	1
bm5	1
bombs	1
boss	1
both	1
bp4	1
brown	1
burn	1
bw4	1
bwi	1
by	1
by4	1
c23	1
c2]	1
c3	1
chance	1
charm	1
clearer	1
clues	1
dani	1
daniman	1
declined	1
doesn't	1
doh	1
don't	1
dup	1
echo	1
elim	1
elimination	1
enough	1
exist	1
fast....lol	1
fey	1
florian	1
floriman	1
focus	1
free	1
fresh	1
g34	1
g35	1
g3g4	1
game	1
gbm	1
gbp	1
get	1
getting	1
gi	1
gi3	1
gi4	1
give	1
gm4	1
gpb	1
gpw	1
gr4	1
gr5	1
greedy	1
gri	1
grp	1
grpy	1
gt	1
gui5	1
guide	1
gw3	1
gy1	1
gyp	1
half	1
hand	1
he	1
help	1
here....then	1
hmm	1
hmmm	1
hope	1
i2-i4	1
i34	1
i34;	1
ice4	1
ignition	1
igr	1
ik	1
illegal	1
im23	1
important	1
instead	1
inversion	1
isn't	1
jake	1
jeff	1
just	1
k23	1
k234	1
k2345	1
k24	1
knew	1
kr3	1
kyle	1
l	1
let	1
letical	1
loaded	1
lock	1
lose	1
m13	1
m1b1	1
m234	1
m24	1
m2b2	1
m2p2	1
m34	1
m35	1
ma	1
matched	1
mb2	1
mb5	1
mg4	1
missed	1
missing....so	1
mm234	1
mp23	1
mr23	1
mr5	1
muddy	1
muddy4	1
my5	1
n35	1
n45	1
no...this	1
nomercy	1
note	1
nothing	1
now	1
of	1
oh....o2	1
okay	1
omg	1
one	1
ooo	1
op	1
orange	1
p1n1	1
p34	1
patch	1
pestilent	1
pi	1
piper	1
pk	1
playable	1
plays	1
plus	1
principle	1
prio	1
priority.....this	1
prob	1
probably	1
promised	1
pt	1
purge	1
push	1
py	1
question	1
r3i3r4	1
ra3	1
rb4	1
rbp	1
really	1
reverse	1
review	1
rgi	1
rgk	1
ri4	1
ri5	1
risk	1
rk	1
rk4	1
rm	1
rm23	1
rm3	1
rpg2	1
rpi	1
rw	1
ry	1
ry4	1
ryb	1
rybp	1
ryg	1
rypt	1
ryt	1
ryt2	1
ryw	1
s4	1
saved	1
see's	1
self-	1
selfish	1
sephiroth	1
she	1
shout	1
sky4	1
slot	1
soft	1
some	1
somehow	1
starting	1
steal	1
strange	1
suboptimal	1
sure	1
sus	1
t12	1
t14	1
t19	1
t20	1
t21	1
t22	1
t27	1
t29	1
t31	1
t32	1
t38	1
t39	1
t53	1
t7	1
tangelo	1
the	1
then	1
though....reverse	1
through	1
tpg	1
u-turn	1
u23	1
u234	1
u3	1
u45	1
u4u5	1
ugh	1
ugh....terrible	1
uhhh	1
unknown	1
use	1
used	1
valid	1
violet	1
was	1
when	1
white	1
why......give	1
will	1
with	1
would	1
wp3	1
wp4	1
wr3	1
y235	1
y325	1
y45	1
yb4	1
yba	1
ybm4	1
ybpink	1
ygi	1
yk	1
ym	1
yw	1
zam	1
ðŸ˜…	1
ðŸ˜Ž	1
